Date,Open,High,Low,Close,Adj Close,Volume
2009-01-05,26.500000,28.000000,26.400000,26.500000,15.904921,6396179
2009-01-12,26.250000,26.900000,24.500000,25.000000,15.004640,4526738
2009-01-19,25.000000,25.000000,21.549999,23.400000,14.044342,5160291
2009-01-26,23.010000,23.750000,21.320000,22.400000,13.444157,4869810
2009-02-02,22.350000,23.299999,19.500000,22.700001,13.624213,6761266
2009-02-09,22.719999,23.290001,21.330000,21.400000,12.843971,5847332
2009-02-16,21.219999,22.889999,18.299999,21.850000,13.114054,8240286
2009-02-23,22.610001,22.969999,20.110001,20.600000,12.363824,10516533
2009-03-02,20.200001,22.700001,19.809999,22.250000,13.354131,8473144
2009-03-09,22.250000,22.580000,21.219999,21.490000,12.897986,8581787
2009-03-16,21.600000,21.850000,20.600000,21.600000,12.964008,5386028
2009-03-23,21.889999,26.510000,21.790001,24.200001,14.524491,18370887
2009-03-30,23.400000,26.530001,23.299999,26.240000,15.748869,10307415
2009-04-06,26.510000,28.959999,24.400000,28.600000,17.165310,10390205
2009-04-13,28.600000,29.450001,25.700001,25.700001,15.424769,11586657
2009-04-20,26.010000,26.490000,24.000000,26.490000,15.898917,9262561
2009-04-27,26.480000,26.850000,24.940001,26.580000,15.952930,4982119
2009-05-04,26.889999,28.500000,26.600000,27.600000,16.565125,7188578
2009-05-11,27.299999,28.250000,25.500000,26.620001,15.976941,7988815
2009-05-18,26.680000,29.299999,26.500000,27.290001,16.379065,8167030
2009-05-25,27.290001,30.680000,26.600000,29.000000,17.405382,8014074
2009-06-01,30.000000,32.790001,29.740000,31.650000,18.995874,8983495
2009-06-08,31.500000,32.000000,29.820000,32.000000,19.205938,5862032
2009-06-15,31.719999,31.900000,27.309999,28.879999,17.333363,15249201
2009-06-22,28.799999,28.799999,25.150000,25.770000,15.466782,12374943
2009-06-29,25.559999,27.040001,25.000000,25.100000,15.064657,6751451
2009-07-06,24.790001,25.600000,24.030001,24.500000,14.704547,6271212
2009-07-13,24.410000,27.350000,24.100000,26.100000,15.664842,7047493
2009-07-20,26.700001,29.320000,26.540001,28.580000,17.153305,8161941
2009-07-27,29.370001,29.370001,26.520000,28.440001,17.069279,7105860
2009-08-03,28.500000,28.990000,27.200001,28.750000,17.255339,6062466
2009-08-10,28.459999,29.850000,27.480000,27.500000,16.505104,9934756
2009-08-17,27.200001,28.799999,26.270000,28.590000,17.159306,8276427
2009-08-24,28.799999,30.910000,28.600000,29.420000,17.657465,8649734
2009-08-31,29.400000,29.950001,27.299999,27.459999,16.481098,6318649
2009-09-07,28.000000,29.799999,27.809999,28.070000,16.847210,4228654
2009-09-14,28.000000,28.290001,26.980000,27.350000,16.415075,8385696
2009-09-21,27.770000,30.070000,27.299999,29.990000,17.999565,6801015
2009-09-28,30.000000,31.920000,28.900000,29.040001,17.429394,9667312
2009-10-05,29.400000,30.500000,28.639999,29.799999,17.885530,7086279
2009-10-12,30.000000,31.100000,29.200001,31.100000,18.665771,10241485
2009-10-19,31.100000,32.700001,31.100000,32.439999,19.470020,5535719
2009-10-26,32.150002,32.389999,30.200001,30.500000,18.305662,7231118
2009-11-02,30.400000,30.400000,28.820000,29.600000,17.765493,7576799
2009-11-09,30.200001,31.500000,29.969999,30.750000,18.455709,5635169
2009-11-16,31.299999,32.110001,30.000000,30.799999,18.485714,6095299
2009-11-23,31.170000,31.900000,29.700001,30.350000,18.215635,4576143
2009-11-30,30.650000,32.220001,30.459999,32.000000,19.205938,5689817
2009-12-07,31.900000,32.520000,31.219999,31.219999,18.737793,4730303
2009-12-14,31.600000,32.209999,30.799999,31.000000,18.605753,8172508
2009-12-21,31.090000,33.200001,31.000000,33.200001,19.926163,4735080
2009-12-28,33.849998,34.500000,33.549999,33.950001,20.376303,6716889
2010-01-04,34.400002,37.340000,34.400002,36.250000,21.756725,8427764
2010-01-11,36.849998,37.000000,35.080002,35.099998,21.066513,5163059
2010-01-18,35.200001,36.299999,34.419998,34.500000,20.706404,5705490
2010-01-25,34.400002,34.709999,32.799999,33.750000,20.256266,5009158
2010-02-01,33.689999,34.919998,31.299999,31.500000,18.905846,6451459
2010-02-08,32.000000,32.750000,30.900000,31.280001,18.773808,5494186
2010-02-15,31.780001,32.790001,31.010000,31.900000,19.145920,4386519
2010-02-22,32.400002,32.750000,31.200001,32.740002,19.650080,5819703
2010-03-01,32.799999,35.450001,32.200001,35.349998,21.216558,4063018
2010-03-08,34.500000,36.389999,34.500000,35.779999,21.474640,6114848
2010-03-15,35.980000,38.900002,35.410000,37.900002,22.747034,14055091
2010-03-22,38.000000,39.939999,36.950001,38.700001,23.227180,6160498
2010-03-29,39.000000,39.480000,38.500000,38.900002,23.347223,3675592
2010-04-05,38.900002,39.470001,37.610001,37.939999,22.771040,6633761
2010-04-12,38.000000,38.799999,37.509998,38.500000,23.107145,8366198
2010-04-19,37.700001,38.549999,36.650002,37.049999,22.236876,5771790
2010-04-26,37.980000,39.500000,36.900002,39.110001,23.473263,6245411
2010-05-03,39.110001,39.599998,35.590000,35.590000,21.360607,7494489
2010-05-10,36.500000,39.040001,36.500000,37.599998,22.566975,5774911
2010-05-17,37.299999,39.500000,35.689999,36.400002,21.846756,8574688
2010-05-24,36.910000,38.349998,35.619999,38.349998,23.017118,6575486
2010-05-31,38.200001,38.970001,36.930000,37.500000,22.506962,3545910
2010-06-07,37.000000,37.889999,36.570000,37.400002,22.446943,7484781
2010-06-14,37.689999,39.299999,37.500000,38.439999,23.071136,6129588
2010-06-21,38.750000,39.139999,37.139999,37.500000,22.506962,3512812
2010-06-28,37.509998,37.590000,35.060001,36.980000,22.194862,3934498
2010-07-05,36.810001,37.799999,36.450001,37.130001,22.284893,3430905
2010-07-12,37.150002,38.900002,37.029999,38.450001,23.077133,3496099
2010-07-19,38.389999,39.700001,37.599998,39.689999,23.821363,5039902
2010-07-26,39.849998,40.200001,38.619999,39.049999,23.437250,3439185
2010-08-02,39.099998,42.240002,39.049999,42.000000,25.207796,6323336
2010-08-09,42.049999,42.200001,39.139999,39.150002,23.497263,4771289
2010-08-16,39.590000,40.799999,38.299999,38.639999,23.191172,4428750
2010-08-23,38.599998,39.520000,37.500000,38.900002,23.347223,3648660
2010-08-30,38.799999,40.500000,37.259998,40.400002,24.247501,3771186
2010-09-06,40.500000,41.700001,40.160000,41.000000,24.607609,3285601
2010-09-13,41.900002,41.930000,39.650002,39.650002,23.797359,4497417
2010-09-20,39.650002,40.900002,39.450001,40.250000,24.157467,3391067
2010-09-27,40.330002,40.560001,39.230000,39.790001,23.881388,5433791
2010-10-04,39.770000,40.810001,38.830002,38.950001,23.377232,9591096
2010-10-11,39.200001,41.540001,39.020000,39.900002,23.947407,4971883
2010-10-18,39.849998,40.200001,38.799999,39.650002,23.797359,8908698
2010-10-25,39.950001,40.500000,39.200001,40.209999,24.133463,4679898
2010-11-01,40.209999,46.480000,40.209999,45.820000,27.500507,11258524
2010-11-08,45.790001,46.500000,43.750000,44.400002,26.648239,7348714
2010-11-15,44.000000,44.650002,42.549999,43.099998,25.868000,7016090
2010-11-22,43.490002,45.119999,42.799999,44.450001,26.678249,7680260
2010-11-29,44.400002,46.990002,43.200001,46.200001,27.728577,5310171
2010-12-06,46.099998,49.299999,45.509998,48.799999,29.289055,6905041
2010-12-13,49.000000,49.389999,47.349998,48.310001,28.994970,6323638
2010-12-20,48.250000,49.549999,47.830002,48.810001,29.295065,2731124
2010-12-27,49.200001,49.200001,45.799999,45.799999,27.488499,3138226
2011-01-03,46.099998,47.700001,44.639999,45.299999,27.188408,3632416
2011-01-10,45.250000,48.480000,44.099998,47.599998,28.568836,8253848
2011-01-17,47.980000,49.349998,46.110001,47.279999,28.376783,5834212
2011-01-24,47.000000,48.770000,45.799999,47.900002,28.748888,5597529
2011-01-31,47.250000,48.279999,46.349998,46.529999,27.926634,4210009
2011-02-07,46.669998,47.160000,44.500000,45.900002,27.548513,8135849
2011-02-14,46.200001,46.450001,43.360001,44.150002,26.498192,3482462
2011-02-21,44.150002,46.160000,43.400002,44.810001,26.894318,3803698
2011-02-28,45.009998,49.630001,44.810001,49.630001,29.787210,11965746
2011-03-07,49.630001,51.299999,49.119999,50.500000,30.309374,8560412
2011-03-14,50.650002,52.250000,48.630001,52.000000,31.209652,9003186
2011-03-21,52.450001,53.500000,51.500000,52.750000,31.659786,4649135
2011-03-28,52.500000,56.099998,52.150002,56.099998,33.670418,6358450
2011-04-04,55.950001,58.849998,55.549999,57.000000,34.210583,7597076
2011-04-11,57.500000,57.900002,56.200001,57.200001,34.330620,3307240
2011-04-18,57.200001,58.099998,55.250000,56.799999,34.090538,3693896
2011-04-25,56.799999,57.500000,54.700001,55.299999,33.190262,3539925
2011-05-02,55.599998,55.599998,51.900002,52.950001,31.779831,7188688
2011-05-09,53.000000,53.900002,50.849998,51.500000,30.909563,4943945
2011-05-16,51.150002,52.900002,50.400002,51.450001,30.879555,4549780
2011-05-23,50.799999,52.950001,50.250000,52.700001,31.629784,4066282
2011-05-30,53.000000,54.450001,51.900002,52.250000,31.359699,6651885
2011-06-06,52.450001,53.250000,51.799999,52.099998,31.269669,2967702
2011-06-13,52.250000,53.099998,51.450001,52.799999,31.689804,3894397
2011-06-20,52.200001,53.150002,50.849998,51.599998,30.969580,3587923
2011-06-27,51.200001,52.750000,50.599998,52.349998,31.419714,3744197
2011-07-04,52.599998,53.099998,51.349998,52.799999,31.689804,3481037
2011-07-11,52.099998,52.700001,48.630001,48.799999,29.289055,4608933
2011-07-18,48.119999,48.500000,44.599998,47.290001,28.382778,21921141
2011-07-25,47.349998,47.500000,45.200001,46.779999,28.076681,5190406
2011-08-01,47.400002,47.500000,38.299999,40.910000,24.553595,9258026
2011-08-08,40.029999,41.259998,31.309999,37.000000,22.206867,16185036
2011-08-15,37.000000,39.520000,33.130001,34.810001,20.892462,8140206
2011-08-22,34.959999,37.930000,34.900002,37.150002,22.296896,5406411
